Date,Type,Category,Account,Description,Amount
2026-03-01,Expense,Other,HDFC,meter,1650.0
2026-03-01,Expense,Other,HDFC,clothes,2000.0
2026-02-04,Expense,Other,nCChdfc,petrol,250.0
2026-02-03,Income,Other,nCChdfc,bill,68724.0
2026-02-03,Expense,akka,HDFC,transfer,2000.0
2026-02-03,Expense,Other,HDFC,kirana,340.0
2026-02-03,Income,Other,Licici,commission,323.0
2026-02-03,Expense,karuna,cash,parulu,1050.0
2026-02-02,Expense,Other,HDFC,ccbill,11101.0
2026-02-02,Income,Other,Licici,commission,323.0
2026-02-02,Expense,Other,HDFC,sand,13000.0
2026-02-02,Expense,Other,HDFC,plumbing,500.0
2026-02-02,Expense,Other,nCChdfc,iron,160.0
2026-02-02,Expense,Other,nCChdfc,petrol,360.0
2026-02-02,Income,Other,nCChdfc,bill,11296.0
2026-02-02,Expense,Other,HDFC,transfer,20000.0
2026-02-01,Expense,Other,nCChdfc,food,120.0
2026-02-01,Income,Other,nCChdfc,bill,8696.0
2026-02-01,Expense,Other,ICICIcc,gas,1789.0
2026-02-01,Expense,Other,HDFC,ccbill,12828.0
2026-02-01,Income,Other,HDFC,cb,26.0
2026-02-01,Expense,Other,nCChdfc,xerox,470.0
2026-02-01,Expense,Other,nCChdfc,vegetables,300.0
2026-02-01,Expense,Other,HDFC,peda,10000.0
2026-01-04,Income,Other,HDFC,int,667.0
2026-01-04,Income,Other,HDFC,cb,18.0
2026-01-04,Income,Other,nCChdfc,bill,5598.0
2026-01-03,Expense,Other,HDFC,kodi,1500.0
2026-01-03,Expense,Other,SBIcc,food,47.0
2026-01-03,Expense,Other,SBIcc,chicken,50.0
2026-01-02,Expense,Other,cash,jaya aunty,1500.0
2026-01-02,Expense,Other,Ricici,kirana,160.0
2026-01-02,Expense,Other,HDFC,vegetables,510.0
2026-01-01,Expense,Other,HDFC,petrol,200.0
2026-01-01,Expense,Other,HDFC,wire,580.0
2026-01-01,Income,Other,HDFC,cb,29.0
2026-01-01,Income,Other,HDFC,int,400.0
2026-01-01,Expense,Other,ICICIcc,tatasky,200.0
2026-01-01,Expense,Other,HDFC,transfer,14000.0
2026-01-01,Expense,Other,cash,watering,700.0
2026-01-01,Expense,Other,iAxis,milk,139.0
2026-01-01,Expense,Other,cash,electrical,100.0
2026-01-01,Expense,Other,cash,beta,200.0
2026-01-01,Expense,Other,cash,nela,2700.0
2025-12-12,Income,Other,Axisneo,bill,590.0
2025-12-12,Expense,Other,ICICIcc,gas,895.0
2025-12-12,Income,Other,ICICIcc,bill,4626.0
2025-12-12,Expense,Other,HDFC,sand,13200.0
2025-12-11,Income,Other,ICICIcc,bill,1563.0
2025-12-11,Expense,Other,Union,ccbill,2793.0
2025-12-11,Expense,Other,Abank,ccbill,5135.0
2025-12-11,Income,Other,Axisneo,bill,819.0
2025-12-10,Income,Other,ICICIcc,bill,5757.0
2025-12-10,Expense,Other,SBIcc,vegetables,240.0
2025-12-10,Expense,Other,SBIcc,fish,800.0
2025-12-10,Expense,Other,SBIcc,eggs,112.0
2025-12-10,Expense,Other,HDFC,ccbill,46510.0
2025-12-10,Income,Other,cash,loan,300000.0
2025-12-09,Expense,Other,HDFC,tractor,500.0
2025-12-09,Expense,Other,HDFC,ccbill,32727.0
2025-12-09,Expense,Other,Union,ccbill,2906.0
2025-12-09,Expense,Other,Abank,ccbill,5021.0
2025-12-09,Income,Other,Ricici,bill,1344.0
2025-12-09,Income,Other,SBIcc,bill,5181.0
2025-12-09,Expense,Other,HDFC,tractor,500.0
2025-12-09,Income,Other,ICICIcc,bill,5186.0
2025-12-09,Expense,Other,HDFC,tractor,1000.0
